        1	2014-05-09 15:28:27	1	0	1	0
        1	2014-05-09 15:28:39	1	0	1	0
        1	2014-05-09 15:29:50	1	0	1	0
        1	2014-05-09 15:29:52	1	0	1	0
        1	2014-05-09 15:29:58	1	0	4	0
        1	2014-05-09 15:30:00	1	0	4	0
        1	2014-05-09 16:19:58	1	0	1	0
        1	2014-05-09 16:20:32	1	0	1	0
        1	2014-05-09 16:28:44	1	0	1	0
        2	2014-05-09 16:37:56	1	0	4	0
        2	2014-05-09 16:38:02	1	0	4	0
        2	2014-05-09 16:39:30	1	0	4	0
        2	2014-05-09 16:42:31	1	0	4	0
        2	2014-05-09 16:42:33	1	0	4	0
        1	2014-05-09 16:49:26	1	1	1	0
        1	2014-05-09 16:49:35	1	0	1	0
        1	2014-05-09 16:49:42	1	1	1	0
        1	2014-05-09 18:16:17	1	0	1	0
